Percentage served,Time in ms
0,2167.930
1,2205.898
2,2217.797
3,2225.465
4,2234.446
5,2237.157
6,2240.663
7,2245.075
8,2251.116
9,2255.410
10,2260.677
11,2264.998
12,2267.173
13,2271.462
14,2274.175
15,2277.193
16,2279.800
17,2282.366
18,2286.589
19,2288.196
20,2294.186
21,2299.133
22,2303.784
23,2307.997
24,2313.099
25,2317.279
26,2321.522
27,2324.445
28,2330.044
29,2335.917
30,2342.726
31,2348.629
32,2351.936
33,2355.456
34,2358.174
35,2362.198
36,2365.480
37,2369.213
38,2371.996
39,2377.469
40,2380.341
41,2383.992
42,2386.610
43,2391.767
44,2396.237
45,2399.807
46,2401.036
47,2404.944
48,2409.378
49,2411.486
50,2414.730
51,2418.458
52,2421.464
53,2425.764
54,2430.237
55,2433.225
56,2436.234
57,2441.969
58,2444.760
59,2450.894
60,2454.404
61,2456.365
62,2458.403
63,2461.358
64,2464.202
65,2466.826
66,2471.006
67,2475.380
68,2479.323
69,2481.310
70,2487.150
71,2489.378
72,2491.531
73,2493.627
74,2496.667
75,2500.044
76,2503.560
77,2506.121
78,2509.536
79,2514.880
80,2517.650
81,2522.191
82,2530.100
83,2533.855
84,2541.645
85,2545.115
86,2554.897
87,2565.412
88,2575.277
89,2584.108
90,2593.027
91,2600.557
92,2611.981
93,2622.093
94,2640.103
95,2654.753
96,2698.564
97,2747.161
98,2794.512
99,2861.408
100,3614.326
