Percentage served,Time in ms
0,78.592
1,493.564
2,581.249
3,582.543
4,585.944
5,594.877
6,602.584
7,604.227
8,608.228
9,610.283
10,614.617
11,626.409
12,631.779
13,632.935
14,637.772
15,641.297
16,643.892
17,644.524
18,645.184
19,646.446
20,647.578
21,648.595
22,649.227
23,649.672
24,650.676
25,651.956
26,652.430
27,653.967
28,655.909
29,656.360
30,656.819
31,657.798
32,658.497
33,662.515
34,664.535
35,664.953
36,665.399
37,665.649
38,667.972
39,669.864
40,671.296
41,674.331
42,675.685
43,676.486
44,677.725
45,678.790
46,682.110
47,684.327
48,686.268
49,688.690
50,691.483
51,692.517
52,693.236
53,694.441
54,695.041
55,697.307
56,702.796
57,709.445
58,711.478
59,712.586
60,713.408
61,715.207
62,716.107
63,718.007
64,719.131
65,719.887
66,720.264
67,720.464
68,721.069
69,721.712
70,722.257
71,722.882
72,723.328
73,724.694
74,726.676
75,730.272
76,735.566
77,736.504
78,737.212
79,738.986
80,740.501
81,742.293
82,746.727
83,749.213
84,749.870
85,750.646
86,752.121
87,755.608
88,767.423
89,770.877
90,771.764
91,773.527
92,776.350
93,777.725
94,778.802
95,784.112
96,793.482
97,805.859
98,832.089
99,849.574
100,851.629
