Percentage served,Time in ms
0,2286.977
1,2286.977
2,2286.977
3,2286.977
4,2286.977
5,3261.471
6,3261.471
7,3261.471
8,3261.471
9,3261.471
10,3261.471
11,3261.471
12,3261.471
13,3261.471
14,3261.471
15,3261.500
16,3261.500
17,3261.500
18,3261.500
19,3261.500
20,3261.500
21,3261.500
22,3261.500
23,3261.500
24,3261.500
25,3261.578
26,3261.578
27,3261.578
28,3261.578
29,3261.578
30,3261.578
31,3261.578
32,3261.578
33,3261.578
34,3261.578
35,3261.631
36,3261.631
37,3261.631
38,3261.631
39,3261.631
40,3261.631
41,3261.631
42,3261.631
43,3261.631
44,3261.631
45,3261.638
46,3261.638
47,3261.638
48,3261.638
49,3261.638
50,3261.638
51,3261.638
52,3261.638
53,3261.638
54,3261.638
55,3261.676
56,3261.676
57,3261.676
58,3261.676
59,3261.676
60,3261.676
61,3261.676
62,3261.676
63,3261.676
64,3261.676
65,3261.838
66,3261.838
67,3261.838
68,3261.838
69,3261.838
70,3261.838
71,3261.838
72,3261.838
73,3261.838
74,3261.838
75,3261.995
76,3261.995
77,3261.995
78,3261.995
79,3261.995
80,3261.995
81,3261.995
82,3261.995
83,3261.995
84,3261.995
85,3262.021
86,3262.021
87,3262.021
88,3262.021
89,3262.021
90,3262.021
91,3262.021
92,3262.021
93,3262.021
94,3262.021
95,94516393650.304
96,94516393650.304
97,94516393650.304
98,94516393650.304
99,94516393650.304
100,3262.021
