Percentage served,Time in ms
0,165.746
1,544.930
2,597.917
3,626.610
4,636.727
5,648.135
6,654.805
7,665.848
8,671.098
9,677.546
10,683.710
11,687.345
12,691.780
13,695.051
14,697.649
15,700.304
16,703.412
17,706.702
18,708.787
19,712.341
20,713.760
21,717.006
22,721.577
23,723.468
24,726.438
25,729.654
26,734.877
27,737.678
28,739.720
29,742.750
30,745.143
31,747.457
32,748.947
33,750.769
34,751.868
35,755.011
36,757.075
37,759.162
38,761.915
39,763.518
40,765.766
41,768.362
42,770.848
43,773.003
44,776.035
45,779.867
46,783.629
47,787.176
48,789.722
49,792.883
50,795.733
51,798.250
52,801.158
53,804.692
54,809.826
55,813.671
56,815.637
57,817.500
58,819.433
59,821.606
60,824.159
61,828.449
62,830.464
63,832.933
64,835.205
65,837.934
66,840.092
67,842.230
68,844.352
69,850.911
70,853.447
71,856.732
72,861.434
73,863.872
74,869.016
75,872.088
76,877.319
77,882.092
78,886.849
79,889.578
80,893.391
81,897.644
82,902.824
83,908.385
84,914.287
85,921.700
86,925.840
87,935.030
88,943.747
89,955.570
90,965.427
91,972.375
92,989.685
93,996.769
94,1008.422
95,1024.175
96,1050.115
97,1082.432
98,1132.320
99,1210.842
100,1415.825
